ano_premio,certamen,nombre_actor_actriz,genero,pais_origen_nacionalidad,pelicula,idioma_actuacion,carrera_previa_hollywood,fue_nominado_oscar
1995,Globo de Oro,Jamie Lee Curtis,Femenino,Estados Unidos,True Lies,Inglés,Sí,No
1995,Globo de Oro,Jessica Lange,Femenino,Estados Unidos,Blue Sky,Inglés,Sí,Sí
1995,Globo de Oro,Tom Hanks,Masculino,Estados Unidos,Forrest Gump,Inglés,Sí,Sí
1996,BAFTA,Emma Thompson,Femenino,Reino Unido,Sense and Sensibility,Inglés,No,Sí
1996,BAFTA,Nigel Hawthorne,Masculino,Reino Unido,The Madness of King George,Inglés,No,Sí
1996,Festival de Berlín,Anouk Grinberg,Femenino,Francia,Mon Homme,Francés,No,No
1996,Festival de Berlín,Sean Penn,Masculino,Estados Unidos,Dead Man Walking,Inglés,Sí,Sí
1996,Festival de Cannes,Brenda Blethyn,Femenino,Reino Unido,Secrets & Lies,Inglés,No,Sí
1996,Festival de Cannes,Daniel Auteuil,Masculino,Francia,Le huitième jour,Francés,No,No
1996,Festival de Cannes,Pascal Duquenne,Masculino,Bélgica,Le huitième jour,Francés,No,No
1996,Festival de Venecia,Liam Neeson,Masculino,Reino Unido,Michael Collins,Inglés,Sí,No
1996,Festival de Venecia,Victoire Thivisol,Femenino,Francia,Ponette,Francés,No,No
1996,Globo de Oro,John Travolta,Masculino,Estados Unidos,Get Shorty,Inglés,Sí,No
1996,Globo de Oro,Nicolas Cage,Masculino,Estados Unidos,Leaving Las Vegas,Inglés,Sí,Sí
1996,Globo de Oro,Nicole Kidman,Femenino,Australia,To Die For,Inglés,Sí,No
1996,Globo de Oro,Sharon Stone,Femenino,Estados Unidos,Casino,Inglés,Sí,Sí
1997,BAFTA,Brenda Blethyn,Femenino,Reino Unido,Secrets & Lies,Inglés,No,Sí
1997,BAFTA,Geoffrey Rush,Masculino,Australia,Shine,Inglés,No,Sí
1997,Festival de Berlín,Juliette Binoche,Femenino,Francia,The English Patient,Inglés,Sí,Sí
1997,Festival de Berlín,Leonardo DiCaprio,Masculino,Estados Unidos,Romeo + Juliet,Inglés,Sí,No
1997,Festival de Cannes,Kathy Burke,Femenino,Reino Unido,Nil by Mouth,Inglés,No,No
1997,Festival de Cannes,Sean Penn,Masculino,Estados Unidos,She's So Lovely,Inglés,Sí,No
1997,Festival de Venecia,Robin Tunney,Femenino,Estados Unidos,"Niagara, Niagara",Inglés,Sí,No
1997,Festival de Venecia,Wesley Snipes,Masculino,Estados Unidos,One Night Stand,Inglés,Sí,No
1997,Globo de Oro,Brenda Blethyn,Femenino,Reino Unido,Secrets & Lies,Inglés,No,Sí
1997,Globo de Oro,Geoffrey Rush,Masculino,Australia,Shine,Inglés,No,Sí
1997,Globo de Oro,Madonna,Femenino,Estados Unidos,Evita,Inglés,Sí,No
1997,Globo de Oro,Tom Cruise,Masculino,Estados Unidos,Jerry Maguire,Inglés,Sí,Sí
1998,BAFTA,Judi Dench,Femenino,Reino Unido,Mrs Brown,Inglés,No,Sí
1998,BAFTA,Robert Carlyle,Masculino,Reino Unido,The Full Monty,Inglés,No,No
1998,Festival de Berlín,Fernanda Montenegro,Femenino,Brasil,Central do Brasil,Portugués,No,Sí
1998,Festival de Berlín,Samuel L. Jackson,Masculino,Estados Unidos,Jackie Brown,Inglés,Sí,No
1998,Festival de Cannes,Elodie Bouchez,Femenino,Francia,La vie rêvée des anges,Francés,No,No
1998,Festival de Cannes,Natacha Régnier,Femenino,Bélgica,La vie rêvée des anges,Francés,No,No
1998,Festival de Cannes,Peter Mullan,Masculino,Reino Unido,My Name Is Joe,Inglés,No,No
1998,Festival de Venecia,Javier Bardem,Masculino,España,Before Night Falls,Inglés,No,Sí
1998,Globo de Oro,Helen Hunt,Femenino,Estados Unidos,As Good as It Gets,Inglés,Sí,Sí
1998,Globo de Oro,Jack Nicholson,Masculino,Estados Unidos,As Good as It Gets,Inglés,Sí,Sí
1998,Globo de Oro,Judi Dench,Femenino,Reino Unido,Mrs Brown,Inglés,No,Sí
1998,Globo de Oro,Peter Fonda,Masculino,Estados Unidos,Ulee's Gold,Inglés,Sí,Sí
1999,BAFTA,Cate Blanchett,Femenino,Australia,Elizabeth,Inglés,No,Sí
1999,BAFTA,Roberto Benigni,Masculino,Italia,La vita è bella,Italiano,No,Sí
1999,Festival de Berlín,Juliette Lewis,Femenino,Estados Unidos,The Other Sister,Inglés,Sí,No
1999,Festival de Berlín,Michael Gwisdek,Masculino,Alemania,Nachtgestalten,Alemán,No,No
1999,Festival de Cannes,Emmanuel Schotte,Masculino,Francia,L'humanité,Francés,No,No
1999,Festival de Cannes,Séverine Caneele,Femenino,Francia,L'humanité,Francés,No,No
1999,Festival de Cannes,Émilie Dequenne,Femenino,Bélgica,Rosetta,Francés,No,No
1999,Globo de Oro,Cate Blanchett,Femenino,Australia,Elizabeth,Inglés,No,Sí
1999,Globo de Oro,Gwyneth Paltrow,Femenino,Estados Unidos,Shakespeare in Love,Inglés,Sí,Sí
1999,Globo de Oro,Jim Carrey,Masculino,Canadá,The Truman Show,Inglés,Sí,No
1999,Globo de Oro,Tom Hanks,Masculino,Estados Unidos,Saving Private Ryan,Inglés,Sí,Sí
2000,BAFTA,Annette Bening,Femenino,Estados Unidos,American Beauty,Inglés,Sí,Sí
2000,BAFTA,Kevin Spacey,Masculino,Estados Unidos,American Beauty,Inglés,Sí,Sí
2000,Festival de Berlín,Bibiana Beglau,Femenino,Alemania,Die Stille nach dem Schuss,Alemán,No,No
2000,Festival de Berlín,Denzel Washington,Masculino,Estados Unidos,The Hurricane,Inglés,Sí,Sí
2000,Festival de Cannes,Björk,Femenino,Islandia,Dancer in the Dark,Inglés,No,No
2000,Festival de Cannes,Tony Leung Chiu-wai,Masculino,Hong Kong,In the Mood for Love,Cantonés,No,No
2000,Festival de Venecia,Javier Bardem,Masculino,España,Before Night Falls,Inglés,No,Sí
2000,Festival de Venecia,Rose Byrne,Femenino,Australia,The Goddess of 1967,Inglés,No,No
2000,Globo de Oro,Denzel Washington,Masculino,Estados Unidos,The Hurricane,Inglés,Sí,Sí
2000,Globo de Oro,Hilary Swank,Femenino,Estados Unidos,Boys Don't Cry,Inglés,Sí,Sí
2000,Globo de Oro,Janet McTeer,Femenino,Reino Unido,Tumbleweeds,Inglés,No,Sí
2000,Globo de Oro,Jim Carrey,Masculino,Canadá,Man on the Moon,Inglés,Sí,No
2001,BAFTA,Jamie Bell,Masculino,Reino Unido,Billy Elliot,Inglés,No,No
2001,BAFTA,Julia Roberts,Femenino,Estados Unidos,Erin Brockovich,Inglés,Sí,Sí
2001,Festival de Berlín,Benicio del Toro,Masculino,Puerto Rico,Traffic,Inglés / Español,Sí,Sí
2001,Festival de Berlín,Kerry Fox,Femenino,Nueva Zelanda,Intimacy,Inglés,No,No
2001,Festival de Cannes,Benoît Magimel,Masculino,Francia,La pianiste,Francés,No,No
2001,Festival de Cannes,Isabelle Huppert,Femenino,Francia,La pianiste,Francés,No,No
2001,Festival de Venecia,Luigi Lo Cascio,Masculino,Italia,Luce dei miei occhi,Italiano,No,No
2001,Festival de Venecia,Sandra Ceccarelli,Femenino,Italia,Luce dei miei occhi,Italiano,No,No
2001,Globo de Oro,George Clooney,Masculino,Estados Unidos,"O Brother, Where Art Thou?",Inglés,Sí,No
2001,Globo de Oro,Julia Roberts,Femenino,Estados Unidos,Erin Brockovich,Inglés,Sí,Sí
2001,Globo de Oro,Renée Zellweger,Femenino,Estados Unidos,Nurse Betty,Inglés,Sí,No
2001,Globo de Oro,Tom Hanks,Masculino,Estados Unidos,Cast Away,Inglés,Sí,Sí
2002,BAFTA,Judi Dench,Femenino,Reino Unido,Iris,Inglés,Sí,Sí
2002,BAFTA,Russell Crowe,Masculino,Nueva Zelanda,A Beautiful Mind,Inglés,Sí,Sí
2002,Festival de Berlín,Halle Berry,Femenino,Estados Unidos,Monster's Ball,Inglés,Sí,Sí
2002,Festival de Berlín,Jacques Gamblin,Masculino,Francia,Laissez-passer,Francés,No,No
2002,Festival de Cannes,Kati Outinen,Femenino,Finlandia,Mies vailla menneisyyttä,Finés,No,No
2002,Festival de Cannes,Olivier Gourmet,Masculino,Bélgica,Le fils,Francés,No,No
2002,Festival de Venecia,Julianne Moore,Femenino,Estados Unidos,Far from Heaven,Inglés,Sí,Sí
2002,Festival de Venecia,Stefano Accorsi,Masculino,Italia,Un viaggio chiamato amore,Italiano,No,No
2002,Globo de Oro,Gene Hackman,Masculino,Estados Unidos,The Royal Tenenbaums,Inglés,Sí,No
2002,Globo de Oro,Renée Zellweger,Femenino,Estados Unidos,Bridget Jones's Diary,Inglés,Sí,Sí
2002,Globo de Oro,Russell Crowe,Masculino,Nueva Zelanda,A Beautiful Mind,Inglés,Sí,Sí
2002,Globo de Oro,Sissy Spacek,Femenino,Estados Unidos,In the Bedroom,Inglés,Sí,Sí
2003,BAFTA,Daniel Day-Lewis,Masculino,Reino Unido,Gangs of New York,Inglés,Sí,Sí
2003,BAFTA,Nicole Kidman,Femenino,Australia,The Hours,Inglés,Sí,Sí
2003,Festival de Berlín,Julianne Moore,Femenino,Estados Unidos,The Hours,Inglés,Sí,Sí
2003,Festival de Berlín,Meryl Streep,Femenino,Estados Unidos,The Hours,Inglés,Sí,No
2003,Festival de Berlín,Nicole Kidman,Femenino,Australia,The Hours,Inglés,Sí,Sí
2003,Festival de Berlín,Sam Rockwell,Masculino,Estados Unidos,Confessions of a Dangerous Mind,Inglés,Sí,No
2003,Festival de Cannes,Emin Toprak,Masculino,Turquía,Uzak,Turco,No,No
2003,Festival de Cannes,Marie-Josée Croze,Femenino,Canadá,Les invasions barbares,Francés,No,No
2003,Festival de Cannes,Muzaffer Özdemir,Masculino,Turquía,Uzak,Turco,No,No
2003,Festival de Venecia,Katja Riemann,Femenino,Alemania,Rosenstrasse,Alemán,No,No
2003,Festival de Venecia,Sean Penn,Masculino,Estados Unidos,21 Grams,Inglés,Sí,Sí
2003,Globo de Oro,Jack Nicholson,Masculino,Estados Unidos,About Schmidt,Inglés,Sí,Sí
2003,Globo de Oro,Nicole Kidman,Femenino,Australia,The Hours,Inglés,Sí,Sí
2003,Globo de Oro,Reneé Zellweger,Femenino,Estados Unidos,Chicago,Inglés,Sí,Sí
2003,Globo de Oro,Richard Gere,Masculino,Estados Unidos,Chicago,Inglés,Sí,No
2004,BAFTA,Bill Murray,Masculino,Estados Unidos,Lost in Translation,Inglés,Sí,Sí
2004,BAFTA,Scarlett Johansson,Femenino,Estados Unidos,Lost in Translation,Inglés,Sí,No
2004,Festival de Berlín,Catalina Sandino Moreno,Femenino,Colombia,Maria Full of Grace,Español,No,Sí
2004,Festival de Berlín,Daniel Hendler,Masculino,Uruguay,El abrazo partido,Español,No,No
2004,Festival de Cannes,Maggie Cheung,Femenino,Hong Kong,Clean,Inglés / Francés,No,No
2004,Festival de Cannes,Yagira Yuuya,Masculino,Japón,Dare mo shiranai,Japonés,No,No
2004,Festival de Venecia,Imelda Staunton,Femenino,Reino Unido,Vera Drake,Inglés,No,Sí
2004,Festival de Venecia,Javier Bardem,Masculino,España,Mar adentro,Español,No,No
2004,Globo de Oro,Bill Murray,Masculino,Estados Unidos,Lost in Translation,Inglés,Sí,Sí
2004,Globo de Oro,Charlize Theron,Femenino,Sudáfrica,Monster,Inglés,Sí,Sí
2004,Globo de Oro,Diane Keaton,Femenino,Estados Unidos,Something's Gotta Give,Inglés,Sí,Sí
2004,Globo de Oro,Sean Penn,Masculino,Estados Unidos,Mystic River,Inglés,Sí,Sí
2005,BAFTA,Imelda Staunton,Femenino,Reino Unido,Vera Drake,Inglés,No,Sí
2005,BAFTA,Jamie Foxx,Masculino,Estados Unidos,Ray,Inglés,Sí,Sí
2005,Festival de Berlín,Julia Jentsch,Femenino,Alemania,Sophie Scholl - Die letzten Tage,Alemán,No,No
2005,Festival de Berlín,Lou Taylor Pucci,Masculino,Estados Unidos,Thumbsucker,Inglés,No,No
2005,Festival de Cannes,Hanna Laslo,Femenino,Israel,Free Zone,Hebreo / Inglés,No,No
2005,Festival de Cannes,Tommy Lee Jones,Masculino,Estados Unidos,The Three Burials of Melquiades Estrada,Inglés / Español,Sí,No
2005,Festival de Venecia,David Strathairn,Masculino,Estados Unidos,"Good Night, and Good Luck.",Inglés,Sí,Sí
2005,Festival de Venecia,Giovanna Mezzogiorno,Femenino,Italia,La bestia nel cuore,Italiano,No,No
2005,Globo de Oro,Annette Bening,Femenino,Estados Unidos,Being Julia,Inglés,Sí,Sí
2005,Globo de Oro,Hilary Swank,Femenino,Estados Unidos,Million Dollar Baby,Inglés,Sí,Sí
2005,Globo de Oro,Jamie Foxx,Masculino,Estados Unidos,Ray,Inglés,Sí,Sí
2005,Globo de Oro,Leonardo DiCaprio,Masculino,Estados Unidos,The Aviator,Inglés,Sí,Sí
2006,BAFTA,Philip Seymour Hoffman,Masculino,Estados Unidos,Capote,Inglés,Sí,Sí
2006,BAFTA,Reese Witherspoon,Femenino,Estados Unidos,Walk the Line,Inglés,Sí,Sí
2006,Festival de Berlín,Moritz Bleibtreu,Masculino,Alemania,Elementarteilchen,Alemán,No,No
2006,Festival de Berlín,Sandra Hüller,Femenino,Alemania,Requiem,Alemán,No,No
2006,Festival de Cannes,Carmen Maura,Femenino,España,Volver,Español,No,No
2006,Festival de Cannes,Jamel Debbouze,Masculino,Francia,Indigènes,Francés / Árabe,No,No
2006,Festival de Cannes,Penélope Cruz,Femenino,España,Volver,Español,Sí,Sí
2006,Festival de Cannes,Samy Naceri,Masculino,Francia,Indigènes,Francés / Árabe,No,No
2006,Festival de Venecia,Ben Affleck,Masculino,Estados Unidos,Hollywoodland,Inglés,Sí,No
2006,Festival de Venecia,Helen Mirren,Femenino,Reino Unido,The Queen,Inglés,Sí,Sí
2006,Globo de Oro,Felicity Huffman,Femenino,Estados Unidos,Transamerica,Inglés,Sí,Sí
2006,Globo de Oro,Joaquin Phoenix,Masculino,Estados Unidos,Walk the Line,Inglés,Sí,Sí
2006,Globo de Oro,Philip Seymour Hoffman,Masculino,Estados Unidos,Capote,Inglés,Sí,Sí
2006,Globo de Oro,Reese Witherspoon,Femenino,Estados Unidos,Walk the Line,Inglés,Sí,Sí
2007,BAFTA,Forest Whitaker,Masculino,Estados Unidos,The Last King of Scotland,Inglés,Sí,Sí
2007,BAFTA,Helen Mirren,Femenino,Reino Unido,The Queen,Inglés,Sí,Sí
2007,Festival de Berlín,Julio Chávez,Masculino,Argentina,El otro,Español,No,No
2007,Festival de Berlín,Nina Hoss,Femenino,Alemania,Yella,Alemán,No,No
2007,Festival de Cannes,Jeon Do-yeon,Femenino,Corea del Sur,Meryang Sunshain,Coreano,No,No
2007,Festival de Cannes,Konstantin Lavronenko,Masculino,Rusia,Izgnanie,Ruso,No,No
2007,Festival de Venecia,Brad Pitt,Masculino,Estados Unidos,The Assassination of Jesse James...,Inglés,Sí,No
2007,Festival de Venecia,Cate Blanchett,Femenino,Australia,I'm Not There,Inglés,Sí,Sí
2007,Globo de Oro,Forest Whitaker,Masculino,Estados Unidos,The Last King of Scotland,Inglés,Sí,Sí
2007,Globo de Oro,Helen Mirren,Femenino,Reino Unido,The Queen,Inglés,Sí,Sí
2007,Globo de Oro,Meryl Streep,Femenino,Estados Unidos,The Devil Wears Prada,Inglés,Sí,Sí
2007,Globo de Oro,Sacha Baron Cohen,Masculino,Reino Unido,Borat,Inglés,No,No
2008,BAFTA,Daniel Day-Lewis,Masculino,Reino Unido,There Will Be Blood,Inglés,Sí,Sí
2008,BAFTA,Marion Cotillard,Femenino,Francia,La Môme (La Vie en Rose),Francés,No,Sí
2008,Festival de Berlín,Reza Naji,Masculino,Irán,Avaze gonjeshk-ha,Persa,No,No
2008,Festival de Berlín,Sally Hawkins,Femenino,Reino Unido,Happy-Go-Lucky,Inglés,No,No
2008,Festival de Cannes,Benicio del Toro,Masculino,Puerto Rico,Che,Español,Sí,No
2008,Festival de Cannes,Sandra Corveloni,Femenino,Brasil,Linha de Passe,Portugués,No,No
2008,Festival de Venecia,Dominique Blanc,Femenino,Francia,L'Autre,Francés,No,No
2008,Festival de Venecia,Silvio Orlando,Masculino,Italia,Il papà di Giovanna,Italiano,No,No
2008,Globo de Oro,Daniel Day-Lewis,Masculino,Reino Unido,There Will Be Blood,Inglés,Sí,Sí
2008,Globo de Oro,Johnny Depp,Masculino,Estados Unidos,Sweeney Todd,Inglés,Sí,Sí
2008,Globo de Oro,Julie Christie,Femenino,Reino Unido,Away from Her,Inglés,Sí,Sí
2008,Globo de Oro,Marion Cotillard,Femenino,Francia,La Môme (La Vie en Rose),Francés,No,Sí
2009,BAFTA,Kate Winslet,Femenino,Reino Unido,The Reader,Inglés,Sí,Sí
2009,BAFTA,Mickey Rourke,Masculino,Estados Unidos,The Wrestler,Inglés,Sí,Sí
2009,Festival de Berlín,Birgit Minichmayr,Femenino,Austria,Alle Anderen,Alemán,No,No
2009,Festival de Berlín,Sotigui Kouyaté,Masculino,Malí,London River,Inglés / Francés,No,No
2009,Festival de Cannes,Charlotte Gainsbourg,Femenino,Francia,Antichrist,Inglés,No,No
2009,Festival de Cannes,Christoph Waltz,Masculino,Austria,Inglourious Basterds,Alemán / Francés / Inglés,No,Sí
2009,Festival de Venecia,Colin Firth,Masculino,Reino Unido,A Single Man,Inglés,Sí,Sí
2009,Festival de Venecia,Kseniya Rappoport,Femenino,Rusia,La doppia ora,Italiano,No,No
2009,Globo de Oro,Colin Farrell,Masculino,Irlanda,In Bruges,Inglés,Sí,No
2009,Globo de Oro,Kate Winslet,Femenino,Reino Unido,Revolutionary Road,Inglés,Sí,No
2009,Globo de Oro,Mickey Rourke,Masculino,Estados Unidos,The Wrestler,Inglés,Sí,Sí
2009,Globo de Oro,Sally Hawkins,Femenino,Reino Unido,Happy-Go-Lucky,Inglés,No,No
2010,BAFTA,Carey Mulligan,Femenino,Reino Unido,An Education,Inglés,No,Sí
2010,BAFTA,Colin Firth,Masculino,Reino Unido,A Single Man,Inglés,Sí,Sí
2010,Festival de Berlín,Grigoriy Dobrygin,Masculino,Rusia,How I Ended This Summer,Ruso,No,No
2010,Festival de Berlín,Shinobu Terajima,Femenino,Japón,Caterpillar,Japonés,No,No
2010,Festival de Cannes,Elio Germano,Masculino,Italia,La nostra vita,Italiano,No,No
2010,Festival de Cannes,Javier Bardem,Masculino,España,Biutiful,Español,Sí,Sí
2010,Festival de Cannes,Juliette Binoche,Femenino,Francia,Copie conforme,Francés / Inglés,Sí,No
2010,Festival de Venecia,Ariane Labed,Femenino,Francia,Attenberg,Griego,No,No
2010,Festival de Venecia,Vincent Gallo,Masculino,Estados Unidos,Essential Killing,Sin diálogo,Sí,No
2010,Globo de Oro,Jeff Bridges,Masculino,Estados Unidos,Crazy Heart,Inglés,Sí,Sí
2010,Globo de Oro,Meryl Streep,Femenino,Estados Unidos,Julie & Julia,Inglés,Sí,Sí
2010,Globo de Oro,Robert Downey Jr.,Masculino,Estados Unidos,Sherlock Holmes,Inglés,Sí,No
2010,Globo de Oro,Sandra Bullock,Femenino,Estados Unidos,The Blind Side,Inglés,Sí,Sí
2011,BAFTA,Colin Firth,Masculino,Reino Unido,The King's Speech,Inglés,Sí,Sí
2011,BAFTA,Natalie Portman,Femenino,Israel,Black Swan,Inglés,Sí,Sí
2011,Festival de Berlín,Leila Hatami,Femenino,Irán,Jodaeiye Nader az Simin (A Separation),Persa,No,No
2011,Festival de Berlín,Peyman Maadi,Masculino,Irán,Jodaeiye Nader az Simin (A Separation),Persa,No,No
2011,Festival de Cannes,Jean Dujardin,Masculino,Francia,The Artist,Francés / Mudo,No,Sí
2011,Festival de Cannes,Kirsten Dunst,Femenino,Estados Unidos,Melancholia,Inglés,Sí,No
2011,Festival de Venecia,Deanie Ip,Femenino,Hong Kong,Tao Jie,Cantonés,No,No
2011,Festival de Venecia,Michael Fassbender,Masculino,Alemania,Shame,Inglés,Sí,No
2011,Globo de Oro,Annette Bening,Femenino,Estados Unidos,The Kids Are All Right,Inglés,Sí,Sí
2011,Globo de Oro,Colin Firth,Masculino,Reino Unido,The King's Speech,Inglés,Sí,Sí
2011,Globo de Oro,Natalie Portman,Femenino,Israel,Black Swan,Inglés,Sí,Sí
2011,Globo de Oro,Paul Giamatti,Masculino,Estados Unidos,Barney's Version,Inglés,Sí,No
2012,BAFTA,Jean Dujardin,Masculino,Francia,The Artist,Francés / Mudo,No,Sí
2012,BAFTA,Meryl Streep,Femenino,Estados Unidos,The Iron Lady,Inglés,Sí,Sí
2012,Festival de Berlín,Mikkel Boe Følsgaard,Masculino,Dinamarca,En kongelig affære,Danés,No,No
2012,Festival de Berlín,Rachel Mwanza,Femenino,República Democrática del Congo,Rebelle (War Witch),Francés,No,No
2012,Festival de Cannes,Cosmina Stratan,Femenino,Rumania,După dealuri,Rumano,No,No
2012,Festival de Cannes,Cristina Flutur,Femenino,Rumania,După dealuri,Rumano,No,No
2012,Festival de Cannes,Mads Mikkelsen,Masculino,Dinamarca,Jagten,Danés,No,No
2012,Festival de Venecia,Hadas Yaron,Femenino,Israel,Lemale et ha'halal,Hebreo,No,No
2012,Festival de Venecia,Joaquin Phoenix,Masculino,Estados Unidos,The Master,Inglés,Sí,Sí
2012,Festival de Venecia,Philip Seymour Hoffman,Masculino,Estados Unidos,The Master,Inglés,Sí,Sí
2012,Globo de Oro,George Clooney,Masculino,Estados Unidos,The Descendants,Inglés,Sí,Sí
2012,Globo de Oro,Jean Dujardin,Masculino,Francia,The Artist,Francés / Mudo,No,Sí
2012,Globo de Oro,Meryl Streep,Femenino,Estados Unidos,The Iron Lady,Inglés,Sí,Sí
2012,Globo de Oro,Michelle Williams,Femenino,Estados Unidos,My Week with Marilyn,Inglés,Sí,Sí
2013,BAFTA,Daniel Day-Lewis,Masculino,Reino Unido,Lincoln,Inglés,Sí,Sí
2013,BAFTA,Emmanuelle Riva,Femenino,Francia,Amour,Francés,No,Sí
2013,Festival de Berlín,Nazif Mujić,Masculino,Bosnia y Herzegovina,Epizoda u životu berača željeza,Bosnio,No,No
2013,Festival de Berlín,Paulina García,Femenino,Chile,Gloria,Español,No,No
2013,Festival de Cannes,Bruce Dern,Masculino,Estados Unidos,Nebraska,Inglés,Sí,Sí
2013,Festival de Cannes,Bérénice Bejo,Femenino,Argentina,Le Passé,Francés,No,No
2013,Festival de Venecia,Elena Cotta,Femenino,Italia,Via Castellana Bandiera,Italiano,No,No
2013,Festival de Venecia,Themis Panou,Masculino,Grecia,Miss Violence,Griego,No,No
2013,Globo de Oro,Daniel Day-Lewis,Masculino,Reino Unido,Lincoln,Inglés,Sí,Sí
2013,Globo de Oro,Hugh Jackman,Masculino,Australia,Les Misérables,Inglés,Sí,Sí
2013,Globo de Oro,Jennifer Lawrence,Femenino,Estados Unidos,Silver Linings Playbook,Inglés,Sí,Sí
2013,Globo de Oro,Jessica Chastain,Femenino,Estados Unidos,Zero Dark Thirty,Inglés,Sí,Sí
2014,BAFTA,Cate Blanchett,Femenino,Australia,Blue Jasmine,Inglés,Sí,Sí
2014,BAFTA,Chiwetel Ejiofor,Masculino,Reino Unido,12 Years a Slave,Inglés,Sí,Sí
2014,Festival de Berlín,Haru Kuroki,Femenino,Japón,Chiisai Ousama,Japonés,No,No
2014,Festival de Berlín,Liao Fan,Masculino,China,Bai ri yan huo,Chino mandarín,No,No
2014,Festival de Cannes,Julianne Moore,Femenino,Estados Unidos,Maps to the Stars,Inglés,Sí,No
2014,Festival de Cannes,Timothy Spall,Masculino,Reino Unido,Mr. Turner,Inglés,No,No
2014,Festival de Venecia,Adam Driver,Masculino,Estados Unidos,Hungry Hearts,Inglés,Sí,No
2014,Festival de Venecia,Alba Rohrwacher,Femenino,Italia,Hungry Hearts,Inglés,No,No
2014,Globo de Oro,Amy Adams,Femenino,Estados Unidos,American Hustle,Inglés,Sí,Sí
2014,Globo de Oro,Cate Blanchett,Femenino,Australia,Blue Jasmine,Inglés,Sí,Sí
2014,Globo de Oro,Leonardo DiCaprio,Masculino,Estados Unidos,The Wolf of Wall Street,Inglés,Sí,Sí
2014,Globo de Oro,Matthew McConaughey,Masculino,Estados Unidos,Dallas Buyers Club,Inglés,Sí,Sí
2015,BAFTA,Eddie Redmayne,Masculino,Reino Unido,The Theory of Everything,Inglés,No,Sí
2015,BAFTA,Julianne Moore,Femenino,Estados Unidos,Still Alice,Inglés,Sí,Sí
2015,Festival de Berlín,Charlotte Rampling,Femenino,Reino Unido,45 Years,Inglés,Sí,Sí
2015,Festival de Berlín,Tom Courtenay,Masculino,Reino Unido,45 Years,Inglés,Sí,No
2015,Festival de Cannes,Emmanuelle Bercot,Femenino,Francia,Mon Roi,Francés,No,No
2015,Festival de Cannes,Rooney Mara,Femenino,Estados Unidos,Carol,Inglés,Sí,Sí
2015,Festival de Cannes,Vincent Lindon,Masculino,Francia,La Loi du marché,Francés,No,No
2015,Festival de Venecia,Fabrice Luchini,Masculino,Francia,L'Hermine,Francés,No,No
2015,Festival de Venecia,Valeria Golino,Femenino,Italia,Per amor vostro,Italiano,No,No
2015,Globo de Oro,Amy Adams,Femenino,Estados Unidos,Big Eyes,Inglés,Sí,No
2015,Globo de Oro,Eddie Redmayne,Masculino,Reino Unido,The Theory of Everything,Inglés,No,Sí
2015,Globo de Oro,Julianne Moore,Femenino,Estados Unidos,Still Alice,Inglés,Sí,Sí
2015,Globo de Oro,Michael Keaton,Masculino,Estados Unidos,Birdman,Inglés,Sí,Sí
2016,BAFTA,Brie Larson,Femenino,Estados Unidos,Room,Inglés,Sí,Sí
2016,BAFTA,Leonardo DiCaprio,Masculino,Estados Unidos,The Revenant,Inglés,Sí,Sí
2016,Festival de Berlín,Majd Mastoura,Masculino,Túnez,Inhebbek Hedi,Árabe,No,No
2016,Festival de Berlín,Trine Dyrholm,Femenino,Dinamarca,Kollektivet,Danés,No,No
2016,Festival de Cannes,Jaclyn Jose,Femenino,Filipinas,Ma' Rosa,Tagalo,No,No
2016,Festival de Cannes,Shahab Hosseini,Masculino,Irán,Forushande,Persa,No,No
2016,Festival de Venecia,Emma Stone,Femenino,Estados Unidos,La La Land,Inglés,Sí,Sí
2016,Festival de Venecia,Oscar Martínez,Masculino,Argentina,El ciudadano ilustre,Español,No,No
2016,Globo de Oro,Brie Larson,Femenino,Estados Unidos,Room,Inglés,Sí,Sí
2016,Globo de Oro,Jennifer Lawrence,Femenino,Estados Unidos,Joy,Inglés,Sí,Sí
2016,Globo de Oro,Leonardo DiCaprio,Masculino,Estados Unidos,The Revenant,Inglés,Sí,Sí
2016,Globo de Oro,Matt Damon,Masculino,Estados Unidos,The Martian,Inglés,Sí,Sí
2017,BAFTA,Casey Affleck,Masculino,Estados Unidos,Manchester by the Sea,Inglés,Sí,Sí
2017,BAFTA,Emma Stone,Femenino,Estados Unidos,La La Land,Inglés,Sí,Sí
2017,Festival de Berlín,Georg Friedrich,Masculino,Austria,Helle Nächte,Alemán,No,No
2017,Festival de Berlín,Kim Min-hee,Femenino,Corea del Sur,On the Beach at Night Alone,Coreano,No,No
2017,Festival de Cannes,Diane Kruger,Femenino,Alemania,Aus dem Nichts,Alemán,Sí,No
2017,Festival de Cannes,Joaquin Phoenix,Masculino,Estados Unidos,You Were Never Really Here,Inglés,Sí,No
2017,Festival de Venecia,Charlotte Rampling,Femenino,Reino Unido,Hannah,Francés / Inglés,Sí,No
2017,Festival de Venecia,Kamel El Basha,Masculino,Palestina,L'insulte,Árabe,No,No
2017,Globo de Oro,Casey Affleck,Masculino,Estados Unidos,Manchester by the Sea,Inglés,Sí,Sí
2017,Globo de Oro,Emma Stone,Femenino,Estados Unidos,La La Land,Inglés,Sí,Sí
2017,Globo de Oro,Isabelle Huppert,Femenino,Francia,Elle,Francés,No,Sí
